eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0.1,3,0,0.5,1,0.5,100,0.2051875881664739,0.24077640443409182,0.12951338935846027,0.03318543068352162,0.07467451941837394,0.016747672955768234
0.1,3,0,0.5,1,0.75,100,0.20024162782266472,0.2661103928773844,0.1259254113010244,0.03033799806912234,0.06815614863862371,0.014595398490727904
0.1,3,0,0.5,5,0.5,100,0.20268825300821755,0.25261169681160106,0.1291328110679312,0.03167116143883525,0.06327394322279534,0.016950701338195134
0.1,3,0,0.5,5,0.75,100,0.20059322274379845,0.2638889627818895,0.12610220017326962,0.032528196054986386,0.07089740334886639,0.015913871440108054
0.1,3,0,0.8,1,0.5,100,0.20367678476050388,0.254068614213371,0.12867447429524867,0.034066025741031736,0.07866981145758321,0.015488487612905565
0.1,3,0,0.8,1,0.75,100,0.19910444323882343,0.27377315633311494,0.12468991803422275,0.0334119234523339,0.07280493428488984,0.015900066232877007
0.1,3,0,0.8,5,0.5,100,0.20194328860365046,0.25734101975090734,0.12817116160352698,0.031721770905449906,0.07161428610214479,0.016042301556153226
0.1,3,0,0.8,5,0.75,100,0.20261465886829352,0.251264307909835,0.12673118289179466,0.032749831458543495,0.07271415603691762,0.016416025867417396
0.1,3,0.1,0.5,1,0.5,100,0.20012388616233218,0.2702593143637301,0.127280053592402,0.033908750300598825,0.07506729825953663,0.016492115070635454
0.1,3,0.1,0.5,1,0.75,100,0.20048594689785687,0.26291796250393884,0.1264952165134821,0.031100876987464728,0.0694203582264841,0.01575915106421521
0.1,3,0.1,0.5,5,0.5,100,0.20096717620828594,0.26312911370437797,0.12742112096870709,0.033711738152273185,0.07992890310167457,0.01699413520043308
0.1,3,0.1,0.5,5,0.75,100,0.20127238208735326,0.25783974604556253,0.1266418832310725,0.031662012338398396,0.060904775967942346,0.015406781011438324
0.1,3,0.1,0.8,1,0.5,100,0.20186935746202528,0.2600356324047698,0.12807065719899963,0.033870270877732096,0.07905247676572408,0.016381453632007142
0.1,3,0.1,0.8,1,0.75,100,0.20215667518766464,0.2541905377377221,0.1269619846887251,0.03318964148280348,0.07164487966375363,0.01733733660842695
0.1,3,0.1,0.8,5,0.5,100,0.2017420378604696,0.2601785147084491,0.12772307580843517,0.03340812261869813,0.07758445224081183,0.016424181465252777
0.1,3,0.1,0.8,5,0.75,100,0.19984317834119716,0.2669215604964527,0.12618853476408032,0.03150396659212677,0.0643700818276573,0.015602106879482273
0.3,3,0,0.5,1,0.5,100,0.22192990464914505,0.19234757693824156,0.1459635717027614,0.028997880785737788,0.07293406653371905,0.01476314497294404
0.3,3,0,0.5,1,0.75,100,0.2141960360428735,0.20940502464047192,0.13808656853902052,0.032184953837341976,0.06793321618345245,0.015118639120619235
0.3,3,0,0.5,5,0.5,100,0.22114307833154995,0.1913195491241078,0.14618773217216904,0.02876740375497007,0.06929003672998424,0.013435444142540429
0.3,3,0,0.5,5,0.75,100,0.21464103759285727,0.2032777294878185,0.13949431354538194,0.03291878130774189,0.07163904503001532,0.01576340128606166
0.3,3,0,0.8,1,0.5,100,0.21508485261833735,0.22620691343151392,0.14151617921303342,0.032107838706932144,0.07471015705188096,0.015347748726231555
0.3,3,0,0.8,1,0.75,100,0.20981448454403798,0.23623845376300273,0.1346379570808874,0.030197960921576297,0.06442150392879464,0.015392574750634594
0.3,3,0,0.8,5,0.5,100,0.21909567218659476,0.20447285281295222,0.14650032609160782,0.028844455863594267,0.05829499800160358,0.01482851548100128
0.3,3,0,0.8,5,0.75,100,0.21136550885263836,0.22522176201647123,0.13867434421798858,0.030563406329393337,0.054915824312527325,0.014541009314941001
0.3,3,0.1,0.5,1,0.5,100,0.21532116045553856,0.2041634092414037,0.14235813734699201,0.03358471771680417,0.0707966425645718,0.01841996626405884
0.3,3,0.1,0.5,1,0.75,100,0.20976464770131714,0.22806061753540546,0.13265346198176142,0.03458215172918163,0.08542441150826982,0.017762344409611584
0.3,3,0.1,0.5,5,0.5,100,0.2152450224404009,0.2131357277052556,0.14141889514438205,0.030988309465266654,0.07033509325788943,0.01668042035205113
0.3,3,0.1,0.5,5,0.75,100,0.21085675108097884,0.23080245008851522,0.13479373346298582,0.04053156530601033,0.11388982129030885,0.018989414589297794
0.3,3,0.1,0.8,1,0.5,100,0.2167515782479962,0.20755915465390165,0.1397879189800716,0.036350296349142476,0.06990632393968993,0.01714856073556387
0.3,3,0.1,0.8,1,0.75,100,0.2042122300277184,0.2601649900124781,0.13185459079188278,0.03212394057109694,0.07550203012948381,0.01700435232119163
0.3,3,0.1,0.8,5,0.5,100,0.2156750955185566,0.21365254492904084,0.14245773736439213,0.031051463723626223,0.07697289918727877,0.015920984647517816
0.3,3,0.1,0.8,5,0.75,100,0.20988019173288786,0.22255714906589363,0.13550865550138305,0.028439883549965385,0.051980213727253956,0.01476023104781756
0.01,6,0,0.5,1,0.5,100,0.2869378799362381,0.25424405316247556,0.22659120381969777,0.030508657325765822,0.0801719163877686,0.012709967099428558
0.01,6,0,0.5,1,0.75,100,0.28493970889718934,0.26031512601397916,0.2254833131591871,0.03069375112345046,0.07369783450292651,0.013190686953387959
0.01,6,0,0.5,5,0.5,100,0.28529441095869396,0.2672961971862634,0.22663848249751808,0.030334816554445115,0.07817088633256161,0.013344217514300856
0.01,6,0,0.5,5,0.75,100,0.2834362544470043,0.27264192055081005,0.2252397996559993,0.03023203842530144,0.07668695411367067,0.012988673986739165
0.01,6,0,0.8,1,0.5,100,0.28641035979334123,0.253621998405255,0.22574056794696826,0.031015049088830876,0.08306269812148652,0.013051887245666255
0.01,6,0,0.8,1,0.75,100,0.285292133251153,0.24262912574218343,0.22517865291900468,0.029467004447159963,0.06168535060944774,0.011990285051956593
0.01,6,0,0.8,5,0.5,100,0.285775737339111,0.2612626182216543,0.22666168205238793,0.030344513332817902,0.07542041899533725,0.01345322025124062
0.01,6,0,0.8,5,0.75,100,0.28373822430533985,0.2605701786663932,0.22508718955872484,0.02947767673968675,0.06542512345317,0.012537819063861836
0.01,6,0.1,0.5,1,0.5,100,0.2850719433288909,0.2624830379860364,0.22499857300573084,0.031045410002629607,0.08334754416304781,0.013290667276805574
0.01,6,0.1,0.5,1,0.75,100,0.28349907117057294,0.2627195755234352,0.22440668035892666,0.03020141310023969,0.07201151798989648,0.012725853178961499
0.01,6,0.1,0.5,5,0.5,100,0.28429246186943286,0.2657074151112403,0.22526747403922565,0.0301764753312008,0.07614003356568445,0.013146244911035821
0.01,6,0.1,0.5,5,0.75,100,0.2825745735671518,0.2707595867026308,0.22415779856356258,0.029730638996173515,0.0672822249889706,0.012952266824229362
0.01,6,0.1,0.8,1,0.5,100,0.28528453833776285,0.2534716807779292,0.22486408197717345,0.030315045108284713,0.07529509817717145,0.01278664423705576
