IDRSSD,BankName,BankType,.model,.model_spec,sigma2,log_lik,AIC,AICc,BIC,ar_roots,ma_roots
2615190,MERRICK BANK CORPORATION (2615190),LargeCreditCardBank,portfolio2,"<LM w/ ARIMA(3,0,0) errors>",0.082041881408321235,-6.21854423905863,26.43708847811726,29.23708847811726,39.5354955544725,,
2615190,MERRICK BANK CORPORATION (2615190),LargeCreditCardBank,portfolio3,"<LM w/ ARIMA(3,0,0) errors>",0.08123650779376848,-5.403379499070596,26.80675899814119,30.499066690448885,41.77636708540432,,
2615190,MERRICK BANK CORPORATION (2615190),LargeCreditCardBank,portfolio4,"<LM w/ ARIMA(2,0,1)(1,0,0)[4] errors>",0.11988625356156973,-14.86601760286782,45.73203520573564,49.424342898043335,60.70164329299877,,
2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,portfolio1,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.008710908590482801,40.74500212767949,-69.49000425535898,-67.15667092202565,-58.92280356119761,,
2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,portfolio2,"<LM w/ ARIMA(1,0,0)(1,0,0)[4] errors>",0.008730244411508858,40.68853071517092,-69.37706143034184,-67.04372809700851,-58.80986073618047,,
2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,portfolio3,"<LM w/ ARIMA(1,0,0)(1,0,1)[4] errors>",0.007948422250053329,41.132999132971854,-68.26599826594371,-65.0659982659437,-55.93759745608877,,
2980209,BARCLAYS BANK DELAWARE (2980209),LargeCreditCardBank,portfolio4,"<LM w/ ARIMA(1,0,0)(2,0,0)[4] errors>",0.007891333496632015,40.808260818757965,-69.61652163751593,-67.2831883041826,-59.04932094335456,,
3212149,UBS BANK USA (3212149),LargeBank,portfolio1,"<LM w/ ARIMA(0,1,1) errors>",0.013792562816610173,30.97099003943419,-53.94198007886838,-52.83086896775727,-47.08769181205115,,
3212149,UBS BANK USA (3212149),LargeBank,portfolio2,"<LM w/ ARIMA(0,1,1) errors>",0.01377812518164163,30.99396766327022,-53.98793532654044,-52.87682421542932,-47.1336470597232,,
3212149,UBS BANK USA (3212149),LargeBank,portfolio3,"<LM w/ ARIMA(0,1,1) errors>",0.01384421035294607,31.442301589820794,-52.88460317964159,-51.17031746535587,-44.31674284612005,,
3212149,UBS BANK USA (3212149),LargeBank,portfolio4,"<LM w/ ARIMA(0,1,1)(2,0,0)[4] errors>",0.012671695559743288,32.85227529330016,-53.70455058660032,-51.233962351306204,-43.423118186374474,,
3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,portfolio1,"<LM w/ ARIMA(1,0,0) errors>",0.07916978369359359,-5.469732774804591,20.93946554960918,22.36803697818061,30.295470604148637,,
3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,portfolio2,"<LM w/ ARIMA(1,0,0) errors>",0.07877057994086246,-5.353645410762496,20.707290821524992,22.13586225009642,30.063295876064448,,
3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,portfolio3,"<LM w/ ARIMA(1,0,0) errors>",0.0796815157777852,-5.083474281224291,22.16694856244858,24.215729050253458,33.39415462789593,,
3224580,COMENITY CAPITAL BANK (3224580),LargeCreditCardBank,portfolio4,"<LM w/ ARIMA(1,0,0) errors>",0.07848161487865815,-5.297430399575397,20.594860799150794,22.02343222772222,29.95086585369025,,
3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,portfolio1,"<LM w/ ARIMA(1,0,1)(0,0,1)[4] errors>",0.0034838394022820144,69.55550835613343,-125.11101671226686,-122.31101671226686,-112.01260963591162,,
3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,portfolio2,"<LM w/ ARIMA(1,0,1)(0,0,1)[4] errors>",0.0034611425089724097,69.6997969009368,-125.3995938018736,-122.59959380187361,-112.30118672551836,,
3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,portfolio3,"<LM w/ ARIMA(0,1,0)(0,0,1)[4] errors>",0.003876636314700539,64.99843496826634,-119.99686993653268,-118.53345530238633,-110.74613192798239,,
3303298,"CITIZENS BANK, NATIONAL ASSOCIATION (3303298)",LargeBank,portfolio4,"<LM w/ ARIMA(1,0,1)(1,0,0)[4] errors>",0.003928025813857726,66.74046245642754,-119.48092491285507,-116.68092491285508,-106.38251783649983,,
