eta,max_depth,gamma,colsample_bytree,min_child_weight,subsample,nrounds,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
0.01,6,0,0.8,5,0.5,100,0.27757123758556557,0.3738255693295591,0.21900792032580696,0.018442021599092705,0.03193686743313929,0.007850958235973404
0.01,6,0,0.8,5,0.75,100,0.2759579904313302,0.3830264381277195,0.21840814628485528,0.017720169383707542,0.04228932984204905,0.007378606218804225
0.01,6,0.1,0.5,1,0.5,100,0.2790846357365739,0.3575502104223226,0.2189709015137899,0.018561416372329557,0.041644431551725855,0.007360448071904015
0.01,6,0.1,0.5,1,0.75,100,0.2776308123453408,0.35365617064406396,0.21790731871372673,0.018382836746678573,0.04391645643453015,0.007367876535106448
0.01,6,0.1,0.5,5,0.5,100,0.27823011401017284,0.3583280980255945,0.2185663539861392,0.01834157068954904,0.03512153116538224,0.006996766397504009
0.01,6,0.1,0.5,5,0.75,100,0.2769363072856411,0.36586137303515226,0.21804752922056742,0.01737225748460499,0.046824540054458706,0.00711507817542826
0.01,6,0.1,0.8,1,0.5,100,0.276606823551846,0.3777176986870172,0.21749385491504272,0.018263981197042076,0.04224859544318213,0.00705192185576314
0.01,6,0.1,0.8,1,0.75,100,0.2753954011673886,0.37591706918783746,0.21724593128305988,0.017606576651311708,0.04307202591607208,0.007067050401212403
0.01,6,0.1,0.8,5,0.5,100,0.2757419852215945,0.38325973982701017,0.2170649970714957,0.018121853736031892,0.030426613048367256,0.006872808294629941
0.01,6,0.1,0.8,5,0.75,100,0.2740844360962471,0.38953728237780866,0.21642526542549512,0.017725318766677847,0.03793956946681466,0.007088340214042931
0.1,6,0,0.5,1,0.5,100,0.18826580800559647,0.3513247832059826,0.12000423002553454,0.011931107372173731,0.05717690066323973,0.005129519446817085
0.1,6,0,0.5,1,0.75,100,0.1899224812070991,0.3398959394670546,0.11818992464226924,0.015786377749880207,0.04998025675173107,0.006161848847892928
0.1,6,0,0.5,5,0.5,100,0.19289231185113395,0.32229220059650704,0.12194716393865904,0.014733827648127466,0.04507604712236831,0.006565320678481304
0.1,6,0,0.5,5,0.75,100,0.18879966542848522,0.34900190552344595,0.118864152085139,0.0145665743455244,0.058599698419222176,0.006363716468842785
0.1,6,0,0.8,1,0.5,100,0.19036198626790746,0.33951440598337385,0.12052585836808417,0.01171222428672541,0.07669468912763136,0.005891898709525312
0.1,6,0,0.8,1,0.75,100,0.18438871035271945,0.3767118939173119,0.11560901888561956,0.011952420175272488,0.06352381103850248,0.0057012322891566835
0.1,6,0,0.8,5,0.5,100,0.19123284933458173,0.335444255075273,0.1206456025129469,0.014054535224161389,0.05303412192116447,0.006397751581583429
0.1,6,0,0.8,5,0.75,100,0.18584191537522582,0.36893875597507825,0.11692161853756071,0.014130432914291306,0.05020386215387185,0.007682297913290081
0.1,6,0.1,0.5,1,0.5,100,0.18942482369764974,0.34358134167869114,0.11890688044872937,0.013575936275377327,0.06032543457404266,0.006013388001872581
0.1,6,0.1,0.5,1,0.75,100,0.18529008203016256,0.37053950504355104,0.11622318436390044,0.01396979326949633,0.06759801216617502,0.006273048259126962
0.1,6,0.1,0.5,5,0.5,100,0.191327151896581,0.3327527919924742,0.12150002412021764,0.015060943419620684,0.061177091352860695,0.007339329674011537
0.1,6,0.1,0.5,5,0.75,100,0.18645973552275885,0.36239813200906495,0.1167459280864798,0.013983062202447154,0.05368736364040073,0.006522079870212975
0.1,6,0.1,0.8,1,0.5,100,0.18349605798517463,0.381158271973746,0.11636201439376857,0.012251648827959552,0.07218137274404324,0.006551160834249605
0.1,6,0.1,0.8,1,0.75,100,0.1848856239558608,0.37521724427247055,0.11574685794456716,0.013830905388091617,0.05302551445102275,0.006070300496989038
0.1,6,0.1,0.8,5,0.5,100,0.18728487386637999,0.35934264291059165,0.11766078809419789,0.015241985742725467,0.05408364350718567,0.006996699798003838
0.1,6,0.1,0.8,5,0.75,100,0.18336345376303445,0.3829743143603341,0.11535314627630734,0.014378441198647614,0.053081851677397006,0.0058245943807716406
0.3,6,0,0.5,1,0.5,100,0.2074272054533198,0.2632583658420342,0.1365543917384191,0.016951736895169614,0.10470027291836634,0.00848391916416404
0.3,6,0,0.5,1,0.75,100,0.20222750776517162,0.280757924181457,0.12785954099261784,0.017863712320865907,0.04877087933777726,0.007982726501915977
0.3,6,0,0.5,5,0.5,100,0.20939121457333007,0.26018881878053374,0.14042916663289912,0.015369016974543319,0.04521300275416682,0.008638750619744376
0.3,6,0,0.5,5,0.75,100,0.20315496692516827,0.27777263445315786,0.1299793942473593,0.016907940634773633,0.06561165113299001,0.0072294319292634844
0.3,6,0,0.8,1,0.5,100,0.2070783492497982,0.2671749157357409,0.13502823594855387,0.014904301519720104,0.05563347337030439,0.0069308876139831214
0.3,6,0,0.8,1,0.75,100,0.19728117908758908,0.31171382242423795,0.1272789138104777,0.013559494536814648,0.07317625126520538,0.0070050377564911896
0.3,6,0,0.8,5,0.5,100,0.21040455356498072,0.2590067375446387,0.13906658239549957,0.01299919302874176,0.06596088528606138,0.00782133611778253
0.3,6,0,0.8,5,0.75,100,0.19510118782744107,0.3253585815014445,0.12679842159490787,0.020848791831295406,0.06926049653843526,0.010921831491551463
0.3,6,0.1,0.5,1,0.5,100,0.20253993447168578,0.2794655444532019,0.13165138918354832,0.01634522198223237,0.07935639675794452,0.008223408449413662
0.3,6,0.1,0.5,1,0.75,100,0.19588816338453455,0.30973350656149423,0.12460059784571519,0.01673227125338792,0.07942497429369778,0.009402571044852969
